zipcode,boro,score,cd,african,american,asian,bakery,comfort food,european,health,indian,latin,middle-east,other,seafood
10000,MANHATTAN,16.66667,european,0,16.38888889,0,0,0,15.5,0,0,0,0,0,0
10001,MANHATTAN,19.39453,american,19.57377049,18.44830217,20.90681502,14.93913043,16.95474138,19.09551375,16.29591837,19.93103448,17.91,29.65753425,11.11111111,16.72727273
10002,MANHATTAN,21.68933,asian,6,18.47512577,24.47112241,18.46540881,20.53118712,16.46572935,21.42465753,21.16216216,17.05284553,16.38709677,17.30769231,21.93442623
10003,MANHATTAN,19.4745,american,9.833333333,17.44701493,21.00930593,15.5274463,18.99817185,18.45084746,17.50528169,19.9437751,18.26744186,17.75252525,3.524590164,17.61904762
10004,MANHATTAN,17.87486,american,0,18.60421286,21.67878788,13.38636364,12.32173913,16.01515152,12.5,17.69230769,18.16935484,0,0,10
10005,MANHATTAN,19.40941,american,0,18.13975904,17.88888889,18.95035461,15.36666667,21.93333333,14.63934426,0,13.03703704,0,0,0
10006,MANHATTAN,21.64368,american,0,19.92764858,25.25925926,12.21052632,11.54545455,20.10526316,0,35.30612245,7.666666667,0,6.333333333,0
10007,MANHATTAN,18.90909,american,0,18.37359263,14.19811321,14.21232877,20.44715447,17.92592593,15.7260274,21.46753247,19.86259542,24.06666667,0.666666667,0
10009,MANHATTAN,19.62784,american,17.64705882,18.84605987,19.01928783,16.09975669,20.11111111,17.50756303,16.25609756,30.02631579,19.28700361,13.96,11.13333333,9.833333333
10010,MANHATTAN,18.30316,american,0,17.73751601,17.33031674,13.91825613,18.92041522,18.84117647,18.11627907,16.41666667,17.04014599,18.08333333,8.741935484,21.3
10011,MANHATTAN,19.32108,american,30.25,18.30341686,22.31261426,15.5456821,19.43412527,17.38428418,14.33714286,21.45714286,17.77192982,17.96551724,6.428571429,16.0212766
10012,MANHATTAN,18.98928,american,16.95384615,17.23355263,18.80378251,16.94269341,17.24074074,19.18043304,19.31686047,18.92028986,16.21298701,17.2,16.84615385,21.16666667
10013,MANHATTAN,22.10311,asian,0,18.02340426,24.88188693,21.45163807,18.89915966,19.0997249,19.39834025,24.65454545,18.28240741,8.375,13.06122449,20.65306122
